Date,SPY
2007-05-31,0.0
2007-06-01,0.0
2007-06-04,0.0
2007-06-05,-0.003958660474584708
2007-06-06,-0.014666402194854156
2007-06-07,-0.03244691789805498
2007-06-08,-0.01985754994547373
2007-06-11,-0.01817020949478132
2007-06-12,-0.028877670657965537
2007-06-13,-0.014341587229266262
2007-06-14,-0.008047148740425225
2007-06-15,-0.0024031818540170002
2007-06-18,-0.003575700053053743
2007-06-19,-0.0010996434961119128
2007-06-20,-0.014981117105369424
2007-06-21,-0.009506887255610441
2007-06-22,-0.018826572796006857
2007-06-25,-0.02351874977029411
2007-06-26,-0.03355567949944138
2007-06-27,-0.01980438437779619
2007-06-28,-0.019934282308322948
2007-06-29,-0.019608485392935915
2007-07-02,-0.010745055812624082
2007-07-03,-0.007160939047009762
2007-07-05,-0.008203489176248357
2007-07-06,-0.0029894058838998427
2007-07-09,-0.0022072828691568347
2007-07-10,-0.016415465204328794
2007-07-11,-0.009441517454719217
2007-07-12,0.0
2007-07-13,0.0
2007-07-16,-0.00012920051085296702
2007-07-17,-0.000646141554276003
2007-07-18,-0.002454253706157372
2007-07-19,0.0
2007-07-20,-0.010124075217013195
2007-07-23,-0.007093313926837319
2007-07-24,-0.02431125828228209
2007-07-25,-0.02231221893714308
2007-07-26,-0.0454630155859691
2007-07-27,-0.06422854285896895
2007-07-30,-0.049589903366115906
2007-07-31,-0.0602952157208716
2007-08-01,-0.05571645510444512
2007-08-02,-0.0481712683413279
2007-08-03,-0.07267657307580466
2007-08-06,-0.057135020727783536
2007-08-07,-0.047075350055704845
2007-08-08,-0.03379073283835732
2007-08-09,-0.062423133557328536
2007-08-10,-0.06680833353170557
2007-08-13,-0.0634549943052638
2007-08-14,-0.07777140286909723
2007-08-15,-0.0904751993573979
2007-08-16,-0.08363971181464569
2007-08-17,-0.06680833353170579
2007-08-20,-0.06725999816363759
2007-08-21,-0.06538962910546864
2007-08-22,-0.054297958882556174
2007-08-23,-0.05513584257974624
2007-08-24,-0.043464115043728824
2007-08-27,-0.052363254680902305
2007-08-28,-0.07319264225267119
2007-08-29,-0.05500696408842842
2007-08-30,-0.05752200320898426
2007-08-31,-0.04823608929495837
2007-09-04,-0.03862766684611574
2007-09-05,-0.046946263360039264
2007-09-06,-0.044753663372850916
2007-09-07,-0.05803807238585057
2007-09-10,-0.05984389809618651
2007-09-11,-0.04888082875879474
2007-09-12,-0.04643040238752094
2007-09-13,-0.03972323812449263
2007-09-14,-0.03978819788102128
2007-09-17,-0.044947362817798986
2007-09-18,-0.016830614866998217
2007-09-19,-0.01102719627652926
2007-09-20,-0.017991978719295143
2007-09-21,-0.015341676174087104
2007-09-24,-0.01715576065688773
2007-09-25,-0.019099348244049796
2007-09-26,-0.013916309208718891
2007-09-27,-0.008084783031290232
2007-09-28,-0.011389263637437086
2007-10-01,-0.000244431904373954
2007-10-02,-0.0016057413320541558
2007-10-03,-0.003613941668498266
2007-10-04,-0.002058793992971375
2007-10-05,0.0
2007-10-08,-0.005325667498802811
2007-10-09,0.0
2007-10-10,-0.0016612455487805544
2007-10-11,-0.006454482118388283
2007-10-12,-0.0009587294555285508
2007-10-15,-0.009394330230343084
2007-10-16,-0.017254529048626566
2007-10-17,-0.014251021191302726
2007-10-18,-0.017829931005157618
2007-10-19,-0.04351999237725923
2007-10-22,-0.037960374615013004
2007-10-23,-0.03016349328540313
2007-10-24,-0.031953358900365214
2007-10-25,-0.029652640941649766
2007-10-26,-0.018277192054880764
2007-10-29,-0.015018018445993486
2007-10-30,-0.021855485806683728
2007-10-31,-0.01169491128638056
2007-11-01,-0.034828862753559675
2007-11-02,-0.03374254000193633
2007-11-05,-0.0410914073170926
2007-11-06,-0.028182922239689878
2007-11-07,-0.05476764261391609
2007-11-08,-0.05956019467013274
2007-11-09,-0.07246936426092654
2007-11-12,-0.08167168848507511
2007-11-13,-0.053681046056936355
2007-11-14,-0.05630129486660185
2007-11-15,-0.06991298055064765
2007-11-16,-0.06831566855259275
2007-11-19,-0.08128822408339931
2007-11-20,-0.07566480967310563
2007-11-21,-0.0945809949785471
2007-11-23,-0.07892405173333217
2007-11-26,-0.09924609064134704
2007-11-27,-0.08889337321217128
2007-11-28,-0.05975192687097075
2007-11-29,-0.05943260137403794
2007-11-30,-0.04997440604430847
2007-12-03,-0.056237498218554394
2007-12-04,-0.06467275673667328
2007-12-05,-0.04901595039413642
2007-12-06,-0.03540385400205581
2007-12-07,-0.035595586202893714
2007-12-10,-0.028118509529590607
2007-12-11,-0.05476764261391609
2007-12-12,-0.04543710903162079
2007-12-13,-0.04741856994474247
2007-12-14,-0.059496740278780824
2007-12-17,-0.07291689911600618
2007-12-18,-0.06774033504740107
2007-12-19,-0.06774033504740107
2007-12-20,-0.0618607757261701
2007-12-21,-0.04833711846421551
2007-12-24,-0.04127027066617872
2007-12-26,-0.03921467695280456
2007-12-27,-0.05129277883550387
2007-12-28,-0.05366975158598419
2007-12-31,-0.06067239202793895
2008-01-02,-0.0688958621028617
2008-01-03,-0.06934545049811447
2008-01-04,-0.09215288907775465
2008-01-07,-0.09292324044806144
2008-01-08,-0.10757141630886102
2008-01-09,-0.09819159776240871
2008-01-10,-0.09228116688724053
2008-01-11,-0.09960470720692749
2008-01-14,-0.09234530579198341
2008-01-15,-0.11232556716383868
2008-01-16,-0.11997076032598797
2008-01-17,-0.1427777197462543
2008-01-18,-0.1515793298312723
2008-01-22,-0.16018824939670484
2008-01-23,-0.14001522905392527
2008-01-24,-0.13275534847960768
2008-01-25,-0.14528310720889892
